140 -22.894717 -43.423087 0 0.017265924320091566 0.3900232311304699 0.41313438296985805 0.5240042488150409  921 0.959 1107 0.936 1448 0.916 79 0.916 1304 0.959 1007 0.936
141 -22.873864 -43.327314 0 0.05263894389580049 0.30167887627007695 0.45562889689319547 0.7599738584620936  901 0.917 1415 0.959 328 0.917 358 0.936 1488 0.959 815 0.936
142 -23.003391 -43.634549 0 0.01046045690681457 0.09356115577802154 0.6060228345486383 0.15716147038310135  629 0.907 734 0.933 1405 0.856
143 -22.878458 -43.511811 0 0.044201052059034476 0.09350763148828893 0.5753755552747724 0.3780858573530866  265 0.959 755 0.916 355 0.937 1021 0.937 645 0.959 53 0.916
144 -22.984337 -43.192192 0 0.07484464057551532 0.031469099117065955 0.6100727668249996 1.727628734295331  694 0.910 190 0.881 1409 0.975
145 -22.835627 -43.259358 0 0.5327004135808384 0.016144024528505656 0.13041459535535505 0.9185129694125047  580 0.852 1401 0.933 1181 0.894 536 0.952
146 -22.996834 -43.431709 0 0.3307453860074485 0.3157147036398997 0.12567826421472475 0.19908258715615892  44 0.935 434 0.958 178 0.915 1280 0.935 839 0.958 1223 0.915
147 -22.867742 -43.385557 0 0.597435766666627 0.15088528390057068 0.07546575955610131 0.1048086654838131  269 0.959 1495 0.917 643 0.936 34 0.936 1144 0.916 10 0.959
148 -22.933277 -43.491634 0 0.0 0.82444516832786 0.0 0.20881080610128888  972 0.958 1035 0.916 632 0.936 455 0.936 789 0.958 152 0.916
149 -22.908526 -43.368102 0 0.05726618828662392 0.4461643810969928 0.29400541517344425 0.5377466040705459  1573 0.936 1479 0.916 311 0.936 49 0.916 106 0.959 1579 0.959
150 -22.913905 -43.162912 0 0.43504579922723485 0.0 0.0 0.24760262154237225  838 0.792
151 -22.817667 -43.190385 0 0.05539180665560516 0.0880541971985499 0.5413728812220913 0.4932710179622345  86 0.972 1328 0.917 648 0.914 1199 0.846
152 -22.940946 -43.494894 0 0.0 0.824378215057472 0.0 0.1042611041100841  972 0.936 650 0.915 632 0.958 148 0.916 885 0.936 873 0.958
153 -22.902065 -43.730552 0 0.7252403103541413 0.036397085741312785 0.06278895558242278 0.13161054507586603  1204 0.937 298 0.958 1315 0.958 497 0.915 1360 0.915 1032 0.937
154 -23.027223 -43.192834 0 0.0 0.11378748683796552 0.0 0.09114116759511669 
155 -22.895283 -43.579825 0 0.04502077056438832 0.005360042491373122 0.7177110542956302 0.24050638555505044  708 0.936 840 0.916 1207 0.937 591 0.958 430 0.916 1237 0.958
156 -22.856922 -43.563523 0 0.12242891018538912 0.556276575956233 0.1036018707269043 0.20895047042635548  480 0.959 683 0.959 320 0.937 940 0.916 441 0.916 779 0.937
157 -22.948417 -43.445902 0 0.0 0.8243680847699582 0.0 0.0323310391604947  564 0.958 98 0.936 742 0.916 634 0.958 546 0.936 560 0.916
158 -22.962638 -43.495422 0 0.0720003747969288 0.7147174172369744 0.03748020829118266 0.026981056273189676  1350 0.936 1123 0.958 271 0.958 711 0.936 1138 0.915 1011 0.915
159 -23.007121 -43.453474 0 0.017151973339090132 0.28998378781224793 0.46367094525268854 0.20289531354277707  220 0.958 772 0.958 1167 0.935 1446 0.935 766 0.915 626 0.915
160 -22.976822 -43.240651 0 0.03927297142640768 0.678334343797159 0.10672296717924698 0.22712197353312494  1544 0.916 1575 0.959 1064 0.916 601 0.935 305 0.959 721 0.935
161 -22.944254 -43.365891 0 0.14206481778527918 0.06765652938602416 0.6053789761932571 1.6931929232413525  1102 0.936 1398 0.916 953 0.959 1222 0.959 714 0.916 559 0.936
162 -22.943897 -43.617891 0 0.0 0.8242162445562706 0.0 0.10965797865274064  1417 0.958 1009 0.936 1574 0.958 759 0.936 1458 0.915 108 0.915
163 -22.891364 -43.552073 0 0.012690840704141122 0.5267003857935328 0.26865527059689537 0.20888179296478174  1065 0.916 990 0.916 893 0.936 999 0.959 1548 0.937 941 0.959
164 -22.965450 -43.261895 0 0.0 0.8244055659159927 0.0 0.0224629866175854  699 0.935 449 0.916 571 0.935 624 0.959 814 0.916 1198 0.959
